Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value,Trade Value Growth,Trade Value Growth Value,Trade Value Previous 1,Trade Value Previous 3,Trade Value Previous 5,Trade Value Growth 1,Trade Value Growth Value 1,Trade Value Growth 3,Trade Value Growth Value 3,Trade Value Growth 5,Trade Value Growth Value 5
1,Animal Products,101,Live animals,10106,Other Animals,2019,13963,213.8153846,13898,65,580,361,21381.53846,13898,2307.413793,13383,3767.867036,13602
1,Animal Products,102,Meat and edible meat offal,10202,Frozen Bovine Meat,2019,89593,26.78939206,86369,3224,0.1,0.1,2678.939206,86369,100,89593,100,89593
1,Animal Products,102,Meat and edible meat offal,10207,Poultry Meat,2019,1284797,2.241645452,888456,396341,141833,254700,224.1645452,888456,805.8519526,1142964,404.4354142,1030097
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,Live Fish,2019,6574938,-0.351667655,-3566370,10141308,1475224,867510,-35.16676547,-3566370,345.6908239,5099714,657.9091884,5707428
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,Non-fillet Fresh Fish,2019,940102,0.208093347,161932,778170,811055,509437,20.80933472,161932,15.9110048,129047,84.53744035,430665
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,2019,855318,0.561688407,307630,547688,378661,3375,56.16884065,307630,125.8796126,476657,25242.75556,851943
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,Fish Fillets,2019,4765623,1.459625608,2828083,1937540,5822100,20821,145.9625608,2828083,-18.14597826,-1056477,22788.54042,4744802
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,Processed Fish,2019,15112,53.16487455,14833,279,0.1,0.1,5316.487455,14833,100,15112,100,15112
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,Crustaceans,2019,2180234,-0.169623202,-445362,2625596,2184464,3394422,-16.96232017,-445362,-0.193640179,-4230,-35.77009576,-1214188
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,Molluscs,2019,1781007,-0.445627854,-1431649,3212656,3420112,3684469,-44.56278543,-1431649,-47.92547729,-1639105,-51.6617727,-1903462
