Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value,Trade Value Growth,Trade Value Growth Value,Trade Value Previous 1,Trade Value Previous 3,Trade Value Previous 5,Trade Value Growth 1,Trade Value Growth Value 1,Trade Value Growth 3,Trade Value Growth Value 3,Trade Value Growth 5,Trade Value Growth Value 5
1,Animal Products,101,Live animals,10101,Horses,2019,625130,-0.339664197,-321555,946685,1103595,5138237,-33.96641966,-321555,-43.35512575,-478465,-87.83376477,-4513107
1,Animal Products,101,Live animals,10102,Bovine,2019,227663932,0.664187159,90862052,136801880,89648621,145473652,66.41871588,90862052,153.9514043,138015311,56.49839601,82190280
1,Animal Products,101,Live animals,10105,Poultry,2019,30799177,0.199427663,5120949,25678228,27001633,27043878,19.9427663,5120949,14.06412716,3797544,13.88594861,3755299
1,Animal Products,101,Live animals,10106,Other Animals,2019,746593,6.756890981,650344,96249,82864,58043,675.6890981,650344,800.9859529,663729,1186.275692,688550
1,Animal Products,102,Meat and edible meat offal,10201,Bovine Meat,2019,127803140,0.224366592,23420073,104383067,129958190,153605716,22.43665919,23420073,-1.658264092,-2155050,-16.79792697,-25802576
1,Animal Products,102,Meat and edible meat offal,10202,Frozen Bovine Meat,2019,74370593,-0.09155591,-7495307,81865900,113059877,139381711,-9.155591034,-7495307,-34.22017167,-38689284,-46.64250247,-65011118
1,Animal Products,102,Meat and edible meat offal,10204,Sheep and Goat Meat,2019,223389,-0.63838167,-394359,617748,18912858,36912732,-63.83816702,-394359,-98.81885118,-18689469,-99.39481857,-36689343
1,Animal Products,102,Meat and edible meat offal,10206,Edible Offal,2019,1637332,247.5702141,1630745,6587,3189975,6953436,24757.02141,1630745,-48.6725758,-1552643,-76.4529076,-5316104
1,Animal Products,102,Meat and edible meat offal,10207,Poultry Meat,2019,295,-0.988486457,-25327,25622,46906,56351,-98.8486457,-25327,-99.37108259,-46611,-99.47649554,-56056
1,Animal Products,102,Meat and edible meat offal,10210,Preserved Meat,2019,2724,-0.765415088,-8888,0.1,11612,14197,100,2724,-76.54150878,-8888,-80.81284778,-11473
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,Live Fish,2019,4557818,0.084272614,354246,4203572,3263544,866673,8.427261386,354246,39.65854298,1294274,425.8982338,3691145
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,Non-fillet Fresh Fish,2019,12452065,0.280390346,2726855,9725210,14930253,9523958,28.03903463,2726855,-16.59843273,-2478188,30.74464419,2928107
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,2019,10240064,-0.37703802,-6197639,16437703,22467549,26999859,-37.70380205,-6197639,-54.42287007,-12227485,-62.07363898,-16759795
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,Fish Fillets,2019,13269354,-0.074933865,-1074868,14344222,30105422,44524631,-7.493386536,-1074868,-55.92370703,-16836068,-70.19772269,-31255277
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,Processed Fish,2019,80440,-0.513649143,-84955,165395,308480,240355,-51.3649143,-84955,-73.92375519,-228040,-66.53283685,-159915
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,Crustaceans,2019,4019568,-0.224711598,-1165042,5184610,7468823,10312460,-22.47115984,-1165042,-46.18204234,-3449255,-61.02221972,-6292892
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,Molluscs,2019,3092027,-0.014050613,-44064,3136091,4513220,4555179,-1.405061269,-44064,-31.48955734,-1421193,-32.12062578,-1463152
1,Animal Products,104,Dairy products and other edible products of animal origin,10401,Milk,2019,324352,21.27998351,309794,14558,1059417,476732,2127.998351,309794,-69.38391587,-735065,-31.96345116,-152380
1,Animal Products,104,Dairy products and other edible products of animal origin,10402,Concentrated Milk,2019,982181887,-0.112488342,-124487392,1106669279,833315283,1753889756,-11.24883417,-124487392,17.86437943,148866604,-43.99979339,-771707869
1,Animal Products,104,Dairy products and other edible products of animal origin,10403,Fermented Milk Products,2019,7236,-0.960618908,-176507,183743,185612,1163252,-96.06189079,-176507,-96.10154516,-178376,-99.37795078,-1156016
1,Animal Products,104,Dairy products and other edible products of animal origin,10404,Whey,2019,6170082,-0.166952514,-1236557,7406639,2780775,5146952,-16.69525138,-1236557,121.8835397,3389307,19.87836685,1023130
1,Animal Products,104,Dairy products and other edible products of animal origin,10405,Butter,2019,41435470,-0.259430541,-14515352,55950822,42684673,97196734,-25.94305406,-14515352,-2.926584444,-1249203,-57.36948322,-55761264
1,Animal Products,104,Dairy products and other edible products of animal origin,10406,Cheese,2019,90976513,-0.15014276,-16072658,107049171,113333735,135620059,-15.01427601,-16072658,-19.72689067,-22357222,-32.91809953,-44643546
1,Animal Products,104,Dairy products and other edible products of animal origin,10407,Eggs,2019,1489506,0.746424212,636617,852889,2018794,792809,74.64242123,636617,-26.21802918,-529288,87.87702965,696697
1,Animal Products,104,Dairy products and other edible products of animal origin,10408,Processed Egg Products,2019,546690,-0.528791885,-613498,1160188,400268,352992,-52.87918855,-613498,36.58099074,146422,54.87319826,193698
1,Animal Products,104,Dairy products and other edible products of animal origin,10409,Honey,2019,2229523,1.862061485,1450531,778992,5247265,6073977,186.2061485,1450531,-57.51076037,-3017742,-63.29385179,-3844454
1,Animal Products,104,Dairy products and other edible products of animal origin,10410,Other Edible Animal Products,2019,41270,-0.602370171,-62520,103790,41055,34939,-60.23701705,-62520,0.523687736,215,18.12015227,6331
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10502,Pig Hair,2019,399686,-0.311549731,-180873,580559,105713,101840,-31.15497305,-180873,278.0859497,293973,292.4646504,297846
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10504,Animal Organs,2019,1917497,0.205982058,327509,1589988,5928214,1742593,20.59820577,327509,-67.65472704,-4010717,10.03699659,174904
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10508,Coral and Shells,2019,4019,2.164566929,2749,1270,14277,0.1,216.4566929,2749,-71.8498284,-10258,100,4019
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10511,Other Inedible Animal Products,2019,175575,2.865417639,130153,45422,194729,234657,286.5417639,130153,-9.836233946,-19154,-25.1780258,-59082
2,Vegetable Products,206,Trees and other live plants,20601,Bulbs and Roots,2019,717901,14.8281374,672545,45356,79233,119467,1482.81374,672545,806.0631303,638668,500.9199193,598434
2,Vegetable Products,206,Trees and other live plants,20602,Other Live Plants,2019,18519435,-0.241149482,-5885154,24404589,15288338,14536654,-24.11494822,-5885154,21.13439015,3231097,27.39819631,3982781
2,Vegetable Products,206,Trees and other live plants,20603,Cut Flowers,2019,548864,1.782044524,351576,197288,133020,135816,178.2044524,351576,312.6176515,415844,304.1232255,413048
2,Vegetable Products,206,Trees and other live plants,20604,Foliage,2019,78895,-0.615545799,-126318,205213,78661,106734,-61.55457988,-126318,0.297479056,234,-26.08259786,-27839
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20701,Potatoes,2019,57925437,-0.282365852,-22791788,80717225,51221715,98866381,-28.23658519,-22791788,13.08765628,6703722,-41.41037993,-40940944
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20702,Tomatoes,2019,15,-0.998374512,-9213,9228,16941,33805,-99.83745124,-9213,-99.91145741,-16926,-99.95562787,-33790
