"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","HS6 ID","HS6","Tariff"
1,"Animal Products",102,"Meat and edible meat offal",10210,"Preserved Meat",1021012,"Bellies (streaky) of swine, salted, dried or smoked",30
1,"Animal Products",102,"Meat and edible meat offal",10210,"Preserved Meat",1021020,"Bovine meat salted, dried or smoked",30
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",1020743,"Duck, goose, guinea fowl cuts, offal not liver, froze",30
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,"Live Fish",1030111,"Fish: live, ornamental, freshwater",30
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,"Live Fish",1030119,"Fish: live, ornamental, other than freshwater",30
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",1020741,"Fowl cuts & offal, domestic, except livers, frozen",30
1,"Animal Products",102,"Meat and edible meat offal",10210,"Preserved Meat",1021011,"Hams and shoulders, swine, salted, dried or smoked",30
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",1020322,"Hams, shoulders and cuts, of swine, bone in, frozen",30
1,"Animal Products",102,"Meat and edible meat offal",10208,"Other Meat",1020830,"Meat and edible meat offal: of primates, fresh, chilled or frozen",30
1,"Animal Products",102,"Meat and edible meat offal",10208,"Other Meat",1020850,"Meat and edible meat offal: of reptiles (including snakes and turtles), fresh, chilled or frozen",30
