"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","HS6 ID","HS6","Tariff"
1,"Animal Products",102,"Meat and edible meat offal",10201,"Bovine Meat",1020110,"Bovine carcasses and half carcasses, fresh or chilled",200
1,"Animal Products",102,"Meat and edible meat offal",10202,"Frozen Bovine Meat",1020210,"Bovine carcasses and half carcasses, frozen",200
1,"Animal Products",102,"Meat and edible meat offal",10201,"Bovine Meat",1020120,"Bovine cuts bone in, fresh or chilled",200
1,"Animal Products",102,"Meat and edible meat offal",10202,"Frozen Bovine Meat",1020220,"Bovine cuts bone in, frozen",200
1,"Animal Products",102,"Meat and edible meat offal",10201,"Bovine Meat",1020130,"Bovine cuts boneless, fresh or chilled",200
1,"Animal Products",101,"Animals; live",10102,"Bovine",1010239,"Buffalo: live, other than pure-bred breeding animals",200
1,"Animal Products",101,"Animals; live",10102,"Bovine",1010229,"Cattle: live, other than pure-bred breeding animals",200
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",1020450,"Goat meat, fresh, chilled or frozen",200
1,"Animal Products",102,"Meat and edible meat offal",10205,"Horse Meat",1020500,"Horse, ass, mule, hinny meat, fresh, chilled or froze",200
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",1020410,"Lamb carcasses and half carcasses, fresh or chilled",200
