"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","HS6 ID","HS6","Tariff"
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31516,"Other Vegetable Oils",3151610,"Animal fats, oils, fractions, hydrogenated, esterifie",30
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31513,"Coconut Oil",3151319,"Coconut (copra) oil or fractions simply refined",30
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31512,"Seed Oils",3151229,"Cotton-seed or fractions simply refined",30
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31522,"Fat and Oil Residues",3152200,"Degras, residues from treatment animal & veg waxes",30
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31517,"Margarine",3151790,"Edible mix & preparations of animal & veg fat, oil ne",30
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31520,"Glycerol",3152000,"Glycerol, crude: glycerol waters and glycerol lyes",30
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31515,"Other Pure Vegetable Oils",3151519,"Linseed oil,fractions, refined not chemically modifie",30
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31515,"Other Pure Vegetable Oils",3151529,"Maize oil, fractions, refined not chemically modified",30
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31517,"Margarine",3151710,"Margarine, except liquid margarine",30
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31510,"Olive Oil",3151000,"Olive oil, fractions, blends, not chemically modified",30
