"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","HS6 ID","HS6","Tariff"
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31516,"Other Vegetable Oils",3151610,"Animal fats, oils, fractions, hydrogenated, esterifie",20
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31517,"Margarine",3151790,"Edible mix & preparations of animal & veg fat, oil ne",15.725860904794057
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31515,"Other Pure Vegetable Oils",3151519,"Linseed oil,fractions, refined not chemically modifie",10
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31517,"Margarine",3151710,"Margarine, except liquid margarine",10
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31501,"Pig and Poultry Fat",3150110,"Pig fat: lard, other than that of heading 0209 and 1503",10
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31501,"Pig and Poultry Fat",3150120,"Pig fat: not lard, other than that of heading 0209 or 1503",10
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31501,"Pig and Poultry Fat",3150190,"Poultry fat: other than that of heading 0209 or 1503",10
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31518,"Inedible Fats and Oils",3151800,"Processed animal, vegetable oils, industrial preps ne",10
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31509,"Pure Olive Oil",3150990,"Olive oil, fractions, refined, not chemically modifie",7.505910165484633
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31509,"Pure Olive Oil",3150910,"Olive oil, virgin",7.505910165484633
