"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","HS6 ID","HS6","Tariff"
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31516,"Other Vegetable Oils",3151610,"Animal fats, oils, fractions, hydrogenated, esterifie",40
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31513,"Coconut Oil",3151311,"Coconut (copra) oil crude",40
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31513,"Coconut Oil",3151319,"Coconut (copra) oil or fractions simply refined",40
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31512,"Seed Oils",3151229,"Cotton-seed or fractions simply refined",40
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31517,"Margarine",3151790,"Edible mix & preparations of animal & veg fat, oil ne",40
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31515,"Other Pure Vegetable Oils",3151519,"Linseed oil,fractions, refined not chemically modifie",40
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31515,"Other Pure Vegetable Oils",3151529,"Maize oil, fractions, refined not chemically modified",40
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31517,"Margarine",3151710,"Margarine, except liquid margarine",40
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31510,"Olive Oil",3151000,"Olive oil, fractions, blends, not chemically modified",40
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",31509,"Pure Olive Oil",3150990,"Olive oil, fractions, refined, not chemically modifie",40
