Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value,Trade Value Growth,Trade Value Growth Value,Trade Value Previous 1,Trade Value Previous 3,Trade Value Previous 5,Trade Value Growth 1,Trade Value Growth Value 1,Trade Value Growth 3,Trade Value Growth Value 3,Trade Value Growth 5,Trade Value Growth Value 5
1,Animal Products,101,Live animals,10101,Horses,2019,70757,-0.7151501,-177644,248401,1010,563729,-71.51501,-177644,6905.643564,69747,-87.44840163,-492972
1,Animal Products,101,Live animals,10102,Bovine,2019,2028709,4.013441113,1624055,404654,172387,135547,401.3441113,1624055,1076.8341,1856322,1396.683069,1893162
1,Animal Products,101,Live animals,10104,Sheep and Goats,2019,162647,3.006478471,122051,40596,23733,2395001,300.6478471,122051,585.3200185,138914,-93.20889636,-2232354
1,Animal Products,101,Live animals,10105,Poultry,2019,45134,-0.102150431,-5135,50269,83629,477230,-10.21504307,-5135,-46.03068314,-38495,-90.54250571,-432096
1,Animal Products,101,Live animals,10106,Other Animals,2019,25908120,-0.011405794,-298912,26207032,21008710,19506177,-1.140579368,-298912,23.32085121,4899410,32.82008053,6401943
1,Animal Products,102,Meat and edible meat offal,10201,Bovine Meat,2019,1227029,-0.36318607,-699796,1926825,1343801,1016313,-36.31860703,-699796,-8.689679499,-116772,20.73337643,210716
1,Animal Products,102,Meat and edible meat offal,10202,Frozen Bovine Meat,2019,491512,2.23186681,339429,152083,105949,393554,223.186681,339429,363.9137698,385563,24.89061222,97958
1,Animal Products,102,Meat and edible meat offal,10203,Pig Meat,2019,7731,-0.931077214,-104438,112169,199489,1041005,-93.10772138,-104438,-96.12459835,-191758,-99.25735227,-1033274
1,Animal Products,102,Meat and edible meat offal,10204,Sheep and Goat Meat,2019,76573,-0.621504728,-125736,202309,207339,307735,-62.15047279,-125736,-63.06869426,-130766,-75.11722748,-231162
1,Animal Products,102,Meat and edible meat offal,10206,Edible Offal,2019,1623158,2.170292389,1111168,511990,421050,121721,217.0292389,1111168,285.5024344,1202108,1233.506954,1501437
1,Animal Products,102,Meat and edible meat offal,10207,Poultry Meat,2019,817022,-0.774606911,-2807854,3624876,6818750,4435841,-77.46069107,-2807854,-88.01800917,-6001728,-81.58135064,-3618819
1,Animal Products,102,Meat and edible meat offal,10208,Other Meat,2019,364069,-0.099681486,-40309,404378,466741,1079523,-9.968148613,-40309,-21.99763895,-102672,-66.2750122,-715454
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,Live Fish,2019,4162351,-0.047780374,-208858,4371209,10518385,7095764,-4.778037381,-208858,-60.42785085,-6356034,-41.34034052,-2933413
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,Non-fillet Fresh Fish,2019,42591903,0.0282145,1168734,41423169,63680594,54192601,2.821449996,1168734,-33.1163541,-21088691,-21.4064241,-11600698
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,2019,1112839,-0.555150705,-1388770,2501609,2214270,1046384,-55.5150705,-1388770,-49.74239817,-1101431,6.350918974,66455
