Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value,Trade Value Growth,Trade Value Growth Value,Trade Value Previous 1,Trade Value Previous 3,Trade Value Previous 5,Trade Value Growth 1,Trade Value Growth Value 1,Trade Value Growth 3,Trade Value Growth Value 3,Trade Value Growth 5,Trade Value Growth Value 5
1,Animal Products,101,Live animals,10101,Horses,2019,6682098,2.300683294,4657639,2024459,2956869,2095313,230.0683294,4657639,125.9855949,3725229,218.9069127,4586785
1,Animal Products,101,Live animals,10102,Bovine,2019,144618429,-0.13238592,-22066774,166685203,161486658,124097086,-13.23859203,-22066774,-10.44558678,-16868229,16.53652286,20521343
1,Animal Products,101,Live animals,10104,Sheep and Goats,2019,82852,-0.811645634,-357021,439873,900704,4417636,-81.16456341,-357021,-90.80141756,-817852,-98.12451728,-4334784
1,Animal Products,101,Live animals,10105,Poultry,2019,25628548,-0.012235903,-317473,25946021,25772645,38517613,-1.223590315,-317473,-0.55910831,-144097,-33.46278234,-12889065
1,Animal Products,101,Live animals,10106,Other Animals,2019,7758045,-0.962781189,-200686150,208444195,229678276,115577126,-96.27811895,-200686150,-96.62221211,-221920231,-93.2875602,-107819081
1,Animal Products,102,Meat and edible meat offal,10201,Bovine Meat,2019,28108257,-0.548755649,-34182289,62290546,126573698,4526877,-54.87556491,-34182289,-77.79297165,-98465441,520.9193888,23581380
1,Animal Products,102,Meat and edible meat offal,10202,Frozen Bovine Meat,2019,803467945,0.286932364,179139917,624328028,917838361,1102608631,28.6932364,179139917,-12.46084505,-114370416,-27.13026885,-299140686
1,Animal Products,102,Meat and edible meat offal,10203,Pig Meat,2019,591266,-0.196546842,-144640,735906,1525272,1119532,-19.65468416,-144640,-61.2353731,-934006,-47.18632429,-528266
1,Animal Products,102,Meat and edible meat offal,10204,Sheep and Goat Meat,2019,6987393,-0.427922493,-5226674,12214067,34185462,17321615,-42.7922493,-5226674,-79.56033767,-27198069,-59.66084571,-10334222
1,Animal Products,102,Meat and edible meat offal,10206,Edible Offal,2019,126060952,0.337546832,31813073,94247879,124277776,182077016,33.75468322,31813073,1.434830955,1783176,-30.76503846,-56016064
1,Animal Products,102,Meat and edible meat offal,10207,Poultry Meat,2019,94911411,0.00075712,71805,94839606,187159567,141893345,0.07571204,71805,-49.28850685,-92248156,-33.11073821,-46981934
1,Animal Products,102,Meat and edible meat offal,10208,Other Meat,2019,5251,2.429784455,3720,1531,0.1,41847,242.9784455,3720,100,5251,-87.45190814,-36596
