"Parent Service","Parent Service ID","Parent Service Value","Service","Service ID","Service Value"
"Travel","2",13030300000,"Personal travel","2.2",13030300000
"Transportation","1",8503700000,"Transportation","1",8503700000
"Computer and information services","7",836400000,"Computer and information services","7",836400000
"Government services, n.i.e.","11",797300000,"Government services, n.i.e.","11",797300000
"Other business services","9",682900000,"Other business services","9",682900000
"Construction services","4",580600000,"Construction services","4",580600000
"Insurance services","5",325200000,"Insurance services","5",325200000
"Financial services","6",160400000,"Financial services","6",160400000
"Personal, cultural, and recreational services","10",132600000,"Personal, cultural, and recreational services","10",132600000
"Royalties and license fees","8",1100000,"Royalties and license fees","8",1100000
