"Parent Service","Parent Service ID","Parent Service Value","Service","Service ID","Service Value"
"Transportation","1",8552130000,"Transportation","1",8552130000
"Other business services","9",4582400000,"Other business services","9",4582400000
"Travel","2",3518000000,"Personal travel","2.2",3426700000
"Insurance services","5",2241382500,"Insurance services","5",2241382500
"Government services, n.i.e.","11",778600000,"Government services, n.i.e.","11",778600000
"Computer and information services","7",679300000,"Computer and information services","7",679300000
"Construction services","4",406300000,"Construction services","4",406300000
"Royalties and license fees","8",294000000,"Royalties and license fees","8",294000000
"Personal, cultural, and recreational services","10",114800000,"Personal, cultural, and recreational services","10",114800000
"Travel","2",3518000000,"Business travel","2.1",91300000
