"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","HS6 ID","HS6","Tariff"
4,"Foodstuffs",424,"Tobacco and manufactured tobacco substitutes",42402,"Rolled Tobacco",4240220,"Cigarettes containing tobacco",445652.375
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42206,"Other Fermented Beverages",4220600,"Fermented beverages nes (eg cider, perry, mead, etc)",3000
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42208,"Hard Liquor",4220850,"Gin and Geneva",3000
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42204,"Wine",4220410,"Grape wines, sparkling",3000
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42208,"Hard Liquor",4220870,"Liqueurs and cordials",3000
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42208,"Hard Liquor",4220840,"Rum and tafia",3000
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42208,"Hard Liquor",4220820,"Spirits obtained by distilling grape wine, grape marc",3000
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42205,"Vermouth",4220510,"Vermouth and other flavoured grape wines - pack < 2l",3000
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42205,"Vermouth",4220590,"Vermouth and other flavoured grape wines - pack > 2l",3000
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42208,"Hard Liquor",4220860,"Vodka",3000
