"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","HS6 ID","HS6","Tariff"
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42203,"Beer",4220300,"Beer made from malt",60
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42202,"Flavored Water",4220210,"Beverage waters, sweetened or flavoured",60
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42008,"Other Processed Fruits and Nuts",4200811,"Ground-nuts otherwise prepared or preserved",60
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42007,"Jams",4200799,"Jams, fruit jellies, purees and pastes, except citrus",60
4,"Foodstuffs",421,"Miscellaneous edible preparations",42106,"Other Edible Preparations",4210690,"Food preparations nes",38.67337602927722
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42208,"Hard Liquor",4220890,"Alcoholic liqueurs nes",30
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",41604,"Processed Fish",4160416,"Anchovies, prepared or preserved, not minced",30
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42008,"Other Processed Fruits and Nuts",4200850,"Apricots, otherwise prepared or preserved",30
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",41605,"Processed Crustaceans",4160563,"Aquatic invertebrates: jellyfish, prepared or preserved",30
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",41605,"Processed Crustaceans",4160569,"Aquatic invertebrates: other than crustaceans, molluscs, sea cucumbers, sea urchins, and jellyfish, prepared or preserved",30
