"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","HS6 ID","HS6","Tariff"
4,"Foodstuffs",417,"Sugars and sugar confectionery",41701,"Raw Sugar",4170191,"Refined sugar, in solid form, flavoured or coloured",55
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42208,"Hard Liquor",4220890,"Alcoholic liqueurs nes",49
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42203,"Beer",4220300,"Beer made from malt",49
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42207,"Alcohol > 80% ABV",4220720,"Ethyl alcohol and other spirits, denatured",49
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42206,"Other Fermented Beverages",4220600,"Fermented beverages nes (eg cider, perry, mead, etc)",49
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42208,"Hard Liquor",4220850,"Gin and Geneva",49
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42204,"Wine",4220430,"Grape must, unfermented, except as fruit juice",49
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42204,"Wine",4220421,"Grape wines nes, fortified wine or must, pack < 2l",49
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42204,"Wine",4220429,"Grape wines, alcoholic grape must nes",49
4,"Foodstuffs",422,"Beverages, spirits and vinegar",42204,"Wine",4220410,"Grape wines, sparkling",49
