Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value,Trade Value Growth,Trade Value Growth Value,Trade Value Previous 1,Trade Value Previous 3,Trade Value Previous 5,Trade Value Growth 1,Trade Value Growth Value 1,Trade Value Growth 3,Trade Value Growth Value 3,Trade Value Growth 5,Trade Value Growth Value 5
1,Animal Products,101,Live animals,10101,Horses,2019,1213897,-0.165091968,-240032,1453929,899809,4013480,-16.5091968,-240032,34.90607451,314088,-69.75450233,-2799583
1,Animal Products,101,Live animals,10102,Bovine,2019,105138658,-0.296129502,-44233504,149372162,144595428,78842465,-29.61295024,-44233504,-27.28770235,-39456770,33.3528296,26296193
1,Animal Products,101,Live animals,10104,Sheep and Goats,2019,141943626,-0.138115032,-22746131,164689757,179119653,205430083,-13.81150316,-22746131,-20.75485653,-37176027,-30.90416753,-63486457
1,Animal Products,101,Live animals,10105,Poultry,2019,13174,9.18870843,11881,1293,28408,194227,918.870843,11881,-53.62573923,-15234,-93.21721491,-181053
1,Animal Products,101,Live animals,10106,Other Animals,2019,1093619,-0.566997774,-1432047,2525666,2212424,4720773,-56.69977741,-1432047,-50.56919469,-1118805,-76.83389987,-3627154
1,Animal Products,102,Meat and edible meat offal,10201,Bovine Meat,2019,104473,0.316842291,25137,0.1,79336,129167,100,104473,31.6842291,25137,-19.11788615,-24694
1,Animal Products,102,Meat and edible meat offal,10202,Frozen Bovine Meat,2019,28631493,0.259713621,5902920,22728573,20738344,59996631,25.97136213,5902920,38.06065229,7893149,-52.27816542,-31365138
1,Animal Products,102,Meat and edible meat offal,10203,Pig Meat,2019,17956,-0.114202555,-2315,20271,1427,190163,-11.42025554,-2315,1158.304135,16529,-90.55757429,-172207
1,Animal Products,102,Meat and edible meat offal,10204,Sheep and Goat Meat,2019,606567,-0.512754932,-638324,1244891,939151,6792099,-51.2754932,-638324,-35.41326155,-332584,-91.06952063,-6185532
1,Animal Products,102,Meat and edible meat offal,10205,Horse Meat,2019,4128,-0.482512223,-3849,7977,0.1,0.1,-48.25122226,-3849,100,4128,100,4128
1,Animal Products,102,Meat and edible meat offal,10206,Edible Offal,2019,1234058,6.691278849,1073609,160449,334321,912422,669.1278849,1073609,269.1236865,899737,35.25079404,321636
1,Animal Products,102,Meat and edible meat offal,10207,Poultry Meat,2019,104230037,-0.335681113,-52667560,156897597,88424968,139158365,-33.56811131,-52667560,17.87398894,15805069,-25.09969703,-34928328
1,Animal Products,102,Meat and edible meat offal,10210,Preserved Meat,2019,9293,-0.937164456,-138601,147894,0.1,36722,-93.71644556,-138601,100,9293,-74.69364414,-27429
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,Non-fillet Fresh Fish,2019,3443324,-0.177662613,-743916,4187240,1161651,5402573,-17.76626131,-743916,196.4163936,2281673,-36.26510924,-1959249
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,2019,8979072,-0.197323755,-2207346,11186418,5911661,20109841,-19.73237546,-2207346,51.88746445,3067411,-55.3498608,-11130769
