Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value,Trade Value Growth,Trade Value Growth Value,Trade Value Previous 1,Trade Value Previous 3,Trade Value Previous 5,Trade Value Growth 1,Trade Value Growth Value 1,Trade Value Growth 3,Trade Value Growth Value 3,Trade Value Growth 5,Trade Value Growth Value 5
1,Animal Products,101,Live animals,10101,Horses,2019,4429024,-0.532634079,-5047542,9476566,7796259,7647026,-53.26340786,-5047542,-43.19039426,-3367235,-42.08174524,-3218002
1,Animal Products,101,Live animals,10102,Bovine,2019,58239050,-0.00565176,-331024,58570074,31262765,46595100,-0.565175998,-331024,86.28886472,26976285,24.98964483,11643950
1,Animal Products,101,Live animals,10105,Poultry,2019,26340339,0.153588727,3506951,22833388,24185107,25015049,15.35887272,3506951,8.91140155,2155232,5.297970833,1325290
1,Animal Products,101,Live animals,10106,Other Animals,2019,6923494,-0.094793571,-725031,7648525,4376551,5193338,-9.479357131,-725031,58.19520897,2546943,33.3149123,1730156
1,Animal Products,102,Meat and edible meat offal,10201,Bovine Meat,2019,53431,0.438753803,16294,37137,84983,4985,43.87538035,16294,-37.12742549,-31552,971.8355065,48446
1,Animal Products,102,Meat and edible meat offal,10202,Frozen Bovine Meat,2019,35306407,0.063306867,2102063,33204344,46651404,61787371,6.330686732,2102063,-24.31866145,-11344997,-42.8582145,-26480964
1,Animal Products,102,Meat and edible meat offal,10203,Pig Meat,2019,149560,-0.733360432,-411347,560907,366859,419830,-73.33604323,-411347,-59.23229361,-217299,-64.37605698,-270270
1,Animal Products,102,Meat and edible meat offal,10204,Sheep and Goat Meat,2019,173121,-0.179692386,-37923,211044,2789935,7643294,-17.96923864,-37923,-93.79480167,-2616814,-97.73499489,-7470173
1,Animal Products,102,Meat and edible meat offal,10206,Edible Offal,2019,306535,2.79037244,225663,80872,30089,213525,279.037244,225663,918.761009,276446,43.55930219,93010
1,Animal Products,102,Meat and edible meat offal,10207,Poultry Meat,2019,2636315,0.705062642,1090146,1546169,1101834,1185486,70.50626419,1090146,139.2660782,1534481,122.3826346,1450829
1,Animal Products,102,Meat and edible meat offal,10208,Other Meat,2019,4781198,0.324486246,1171347,3609851,3564010,5568351,32.44862461,1171347,34.15220496,1217188,-14.1361958,-787153
1,Animal Products,102,Meat and edible meat offal,10209,Animal Fat,2019,70905,0.363033449,18885,52020,58473,47347,36.30334487,18885,21.26109486,12432,49.75605635,23558
1,Animal Products,102,Meat and edible meat offal,10210,Preserved Meat,2019,679176,1.175800096,367026,312150,163410,117860,117.5800096,367026,315.6269506,515766,476.2565756,561316
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,Live Fish,2019,609328,0.108445483,59614,549714,392332,450043,10.84454826,59614,55.30927888,216996,35.39328464,159285
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,Non-fillet Fresh Fish,2019,22533117,-0.079931012,-1957565,24490682,17996055,17349283,-7.993101213,-1957565,25.2114255,4537062,29.87924054,5183834
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,2019,46810236,-0.125825398,-6737689,53547925,28849846,21838011,-12.58253985,-6737689,62.25471706,17960390,114.3521038,24972225
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,Fish Fillets,2019,6812766,0.250430361,1364429,5448337,5246386,12859225,25.04303607,1364429,29.85636207,1566380,-47.02039975,-6046459
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,Processed Fish,2019,6040721,-0.480589388,-5589232,11629953,13627886,11097659,-48.05893885,-5589232,-55.67382204,-7587165,-45.56761025,-5056938
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,Crustaceans,2019,87407115,0.236064332,16693065,70714050,132255431,139355057,23.60643323,16693065,-33.91037756,-44848316,-37.27739999,-51947942
