"Parent Service","Parent Service ID","Parent Service Value","Service","Service ID","Service Value"
"Travel","2",78751900000,"Personal travel","2.2",75208100000
"Other business services","9",25224500000,"Miscellaneous business, professional, and technical services","9.3",25058900000
"Transportation","1",35245400000,"Air transport","1.2",18112900000
"Transportation","1",35245400000,"Sea transport","1.1",11795000000
"Communications services","3",8240900000,"Telecommunications services","3.2",8190500000
"Government services, n.i.e.","11",6322800000,"Government services, n.i.e.","11",6322800000
"Travel","2",78751900000,"Business travel","2.1",3543800000
"Construction services","4",3577400000,"Construction in the compiling economy","4.2",2664200000
"Personal, cultural, and recreational services","10",1090100000,"Audiovisual and related services","10.1",972500000
"Construction services","4",3577400000,"Construction abroad","4.1",913200000
