"Parent Service","Parent Service ID","Parent Service Value","Service","Service ID","Service Value"
"Transportation","1",41386400000,"Sea transport","1.1",26800100000
"Travel","2",20926800000,"Personal travel","2.2",19143900000
"Other business services","9",14488400000,"Miscellaneous business, professional, and technical services","9.3",14485000000
"Transportation","1",41386400000,"Air transport","1.2",10548300000
"Government services, n.i.e.","11",9349700000,"Government services, n.i.e.","11",9349700000
"Construction services","4",3932600000,"Construction in the compiling economy","4.2",3311400000
"Travel","2",20926800000,"Business travel","2.1",1782900000
"Royalties and license fees","8",1420300000,"Royalties and license fees","8",1420300000
"Communications services","3",977600000,"Telecommunications services","3.2",796900000
"Financial services","6",648800000,"Financial services","6",648800000
