Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value,Trade Value Growth,Trade Value Growth Value,Trade Value Previous 1,Trade Value Previous 3,Trade Value Previous 5,Trade Value Growth 1,Trade Value Growth Value 1,Trade Value Growth 3,Trade Value Growth Value 3,Trade Value Growth 5,Trade Value Growth Value 5
1,Animal Products,101,Live animals,10102,Bovine,2019,45858987,-0.357252105,-25489340,71348327,54186459,8063451,-35.72521049,-25489340,-15.36817898,-8327472,468.7265539,37795536
1,Animal Products,101,Live animals,10104,Sheep and Goats,2019,448055489,-0.071824428,-34671597,482727086,389741248,379046400,-7.182442835,-34671597,14.96229647,58314241,18.20597399,69009089
1,Animal Products,101,Live animals,10106,Other Animals,2019,10114350,-0.953476637,-207289323,217403673,285134369,148171665,-95.3476637,-207289323,-96.45277767,-275020019,-93.17389732,-138057315
1,Animal Products,102,Meat and edible meat offal,10201,Bovine Meat,2019,35803401,-0.56814592,-47102846,82906247,130490830,7042749,-56.81459203,-47102846,-72.5625157,-94687429,408.3725261,28760652
1,Animal Products,102,Meat and edible meat offal,10202,Frozen Bovine Meat,2019,150455,-0.662276823,-295043,445498,1859935,2552553,-66.22768228,-295043,-91.91073882,-1709480,-94.10570515,-2402098
1,Animal Products,102,Meat and edible meat offal,10203,Pig Meat,2019,46084,-0.465649386,-40159,86243,0,12034,-46.5649386,-40159,100,46084,282.9483131,34050
1,Animal Products,102,Meat and edible meat offal,10204,Sheep and Goat Meat,2019,11750316,-0.631738049,-20157178,31907494,57857334,120932125,-63.17380487,-20157178,-79.69087895,-46107018,-90.28354459,-109181809
1,Animal Products,102,Meat and edible meat offal,10210,Preserved Meat,2019,275215,9.474803989,248941,26274,24271,1,947.4803989,248941,1033.925261,250944,27521400,275214
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,Non-fillet Fresh Fish,2019,3367664,-0.152029277,-603775,3971439,1764671,1338746,-15.2029277,-603775,90.83806557,1602993,151.5536181,2028918
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,Fish Fillets,2019,10465,33.42434211,10161,0,304,0,100,10465,3342.434211,10161,100,10465
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,Processed Fish,2019,89382,0.170503654,13020,76362,135510,88926,17.05036536,13020,-34.04029223,-46128,0.512785912,456
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,Crustaceans,2019,480,-0.999890383,-4378392,4378872,82035,0,-99.98903827,-4378392,-99.41488389,-81555,100,480
