Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value,Trade Value Growth,Trade Value Growth Value,Trade Value Previous 1,Trade Value Previous 3,Trade Value Previous 5,Trade Value Growth 1,Trade Value Growth Value 1,Trade Value Growth 3,Trade Value Growth Value 3,Trade Value Growth 5,Trade Value Growth Value 5
1,Animal Products,101,Live animals,10101,Horses,2019,16515,-0.838146947,-85522,102037,93239,790031,-83.81469467,-85522,-82.28745482,-76724,-97.9095757,-773516
1,Animal Products,101,Live animals,10104,Sheep and Goats,2019,211826,3.741488528,167151,44675,0.1,110250,374.1488528,167151,100,211826,92.1324263,101576
1,Animal Products,101,Live animals,10105,Poultry,2019,2359604,-0.289963484,-963611,3323215,3961880,3897812,-28.99634842,-963611,-40.44231526,-1602276,-39.46337073,-1538208
1,Animal Products,101,Live animals,10106,Other Animals,2019,44343,3.038892431,33364,10979,530818,1043848,303.8892431,33364,-91.64628931,-486475,-95.75196772,-999505
1,Animal Products,102,Meat and edible meat offal,10202,Frozen Bovine Meat,2019,1541928,-0.456903912,-1297216,2839144,4112839,3899588,-45.69039119,-1297216,-62.50940044,-2570911,-60.45920749,-2357660
1,Animal Products,102,Meat and edible meat offal,10203,Pig Meat,2019,122131,-0.398801847,-81015,203146,213505,133615,-39.88018469,-81015,-42.79712419,-91374,-8.594843393,-11484
1,Animal Products,102,Meat and edible meat offal,10204,Sheep and Goat Meat,2019,419760,-0.706945591,-1012602,1432362,1394238,1120333,-70.69455906,-1012602,-69.893232,-974478,-62.53256844,-700573
1,Animal Products,102,Meat and edible meat offal,10206,Edible Offal,2019,935902,2.61233572,676817,259085,17472,6433,261.233572,676817,5256.58196,918430,14448.45329,929469
1,Animal Products,102,Meat and edible meat offal,10207,Poultry Meat,2019,410270,-0.837486839,-2114264,2524534,2812298,5305170,-83.74868392,-2114264,-85.41157445,-2402028,-92.26660032,-4894900
1,Animal Products,102,Meat and edible meat offal,10208,Other Meat,2019,258,-0.997292135,-95020,95278,1618,8853,-99.72921346,-95020,-84.05438813,-1360,-97.08573365,-8595
1,Animal Products,102,Meat and edible meat offal,10209,Animal Fat,2019,46,-0.544554455,-55,101,39,34,-54.45544554,-55,17.94871795,7,35.29411765,12
1,Animal Products,102,Meat and edible meat offal,10210,Preserved Meat,2019,1261,-0.463632497,-1090,2351,2147548,29984,-46.36324968,-1090,-99.94128187,-2146287,-95.79442369,-28723
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,2019,189594,-0.397764416,-125223,314817,2254700,1835203,-39.77644155,-125223,-91.59116512,-2065106,-89.66904479,-1645609
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,Fish Fillets,2019,305515,0.258019221,62661,242854,788487,173576,25.80192214,62661,-61.25300734,-482972,76.01223671,131939
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,Processed Fish,2019,4390,-0.97133211,-148743,153133,204519,395414,-97.133211,-148743,-97.85350016,-200129,-98.88977123,-391024
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,Crustaceans,2019,32553,-0.692701991,-73380,105933,316120,568272,-69.27019909,-73380,-89.70232823,-283567,-94.27158121,-535719
