"Parent Service","Parent Service ID","Parent Service Value","Service","Service ID","Service Value"
"Travel","2",948845732,"Business travel","2.1",940377457
"Transportation","1",531804164,"Other transport","1.3",531804164
"Government services, n.i.e.","11",128043165,"Government services, n.i.e.","11",128043165
"Other business services","9",98079668,"Other business services","9",98079668
"Construction services","4",14259871,"Construction in the compiling economy","4.2",14259871
"Financial services","6",12517049,"Financial services","6",12517049
"Personal, cultural, and recreational services","10",612285,"Other personal, cultural, and recreational services","10.2",612285
"Computer and information services","7",139221,"Computer and information services","7",139221
"Insurance services","5",3607,"Insurance services","5",3607
"Royalties and license fees","8",479,"Royalties and license fees","8",479
