Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value,Trade Value Growth,Trade Value Growth Value,Trade Value Previous 1,Trade Value Previous 3,Trade Value Previous 5,Trade Value Growth 1,Trade Value Growth Value 1,Trade Value Growth 3,Trade Value Growth Value 3,Trade Value Growth 5,Trade Value Growth Value 5
1,Animal Products,101,Live animals,10101,Horses,2019,772053,-0.347808678,-411730,1183783,594410,1238831,-34.78086778,-411730,29.88560085,177643,-37.67890858,-466778
1,Animal Products,101,Live animals,10106,Other Animals,2019,24128,-0.193394176,-5785,29913,484367,181502,-19.33941764,-5785,-95.01865321,-460239,-86.70648257,-157374
1,Animal Products,102,Meat and edible meat offal,10203,Pig Meat,2019,62400,10.36612022,56910,5490,0.1,0.1,1036.612022,56910,100,62400,100,62400
1,Animal Products,102,Meat and edible meat offal,10204,Sheep and Goat Meat,2019,704,,,0.1,0.1,0.1,100,704,100,704,100,704
1,Animal Products,102,Meat and edible meat offal,10206,Edible Offal,2019,35131,-0.082142391,-3144,38275,13647,0.1,-8.214239059,-3144,157.4265406,21484,100,35131
1,Animal Products,102,Meat and edible meat offal,10207,Poultry Meat,2019,3429839,-0.091711037,-346315,3776154,2220265,2468937,-9.171103721,-346315,54.47881221,1209574,38.91966462,960902
1,Animal Products,102,Meat and edible meat offal,10209,Animal Fat,2019,3876,-0.615438039,-6203,10079,0.1,0.1,-61.54380395,-6203,100,3876,100,3876
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,Live Fish,2019,13630278,-0.518319699,-14667076,28297354,20691549,6687224,-51.83196987,-14667076,-34.12635274,-7061271,103.8256532,6943054
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,Non-fillet Fresh Fish,2019,31866574,-0.110290696,-3950264,35816838,12485543,18151952,-11.02906962,-3950264,155.2277782,19381031,75.55452989,13714622
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,2019,3295532,-0.318089278,-1537259,4832791,3734880,4679258,-31.8089278,-1537259,-11.7633766,-439348,-29.57148334,-1383726
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,Fish Fillets,2019,20508384,0.928426876,9873610,10634774,15073653,42046495,92.84268758,9873610,36.05450517,5434731,-51.22450991,-21538111
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,Processed Fish,2019,11070798,0.895481084,5230171,5840627,3474440,2366064,89.54810845,5230171,218.6354636,7596358,367.8993468,8704734
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,Crustaceans,2019,62679853,0.103635936,5885895,56793958,67175736,64172788,10.36359361,5885895,-6.692718633,-4495883,-2.326430013,-1492935
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,Molluscs,2019,32700291,-0.228551972,-9687906,42388197,39938764,54544514,-22.85519717,-9687906,-18.12392842,-7238473,-40.04843274,-21844223
1,Animal Products,104,Dairy products and other edible products of animal origin,10401,Milk,2019,248843,-0.946831657,-4431442,4680285,4925938,3821303,-94.68316566,-4431442,-94.94831238,-4677095,-93.48800658,-3572460
1,Animal Products,104,Dairy products and other edible products of animal origin,10402,Concentrated Milk,2019,149361,-0.165925818,-29713,179074,76933,625281,-16.59258184,-29713,94.14425539,72428,-76.1129796,-475920
1,Animal Products,104,Dairy products and other edible products of animal origin,10403,Fermented Milk Products,2019,8813783,1.012865161,4435058,4378725,5235617,11977738,101.2865161,4435058,68.34277603,3578166,-26.41529644,-3163955
1,Animal Products,104,Dairy products and other edible products of animal origin,10404,Whey,2019,29512,7.037037037,25840,3672,10498,40919,703.7037037,25840,181.1202134,19014,-27.87702534,-11407
1,Animal Products,104,Dairy products and other edible products of animal origin,10405,Butter,2019,28080,-0.744185411,-81687,109767,34927,108021,-74.41854109,-81687,-19.60374495,-6847,-74.00505457,-79941
1,Animal Products,104,Dairy products and other edible products of animal origin,10406,Cheese,2019,8843763,-0.196725798,-2165881,11009644,7017785,17894853,-19.67257979,-2165881,26.01929241,1825978,-50.57929227,-9051090
1,Animal Products,104,Dairy products and other edible products of animal origin,10407,Eggs,2019,993605,-0.474238838,-896236,1889841,7680764,3063432,-47.42388381,-896236,-87.06372179,-6687159,-67.56562574,-2069827
1,Animal Products,104,Dairy products and other edible products of animal origin,10408,Processed Egg Products,2019,226944,,,0.1,0.1,0.1,100,226944,100,226944,100,226944
1,Animal Products,104,Dairy products and other edible products of animal origin,10409,Honey,2019,11594,-0.665203581,-23036,34630,38994,59060,-66.52035807,-23036,-70.2672206,-27400,-80.36911615,-47466
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10504,Animal Organs,2019,41707,-0.047589687,-2084,43791,47480,570905,-4.758968738,-2084,-12.15880371,-5773,-92.69458141,-529198
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10508,Coral and Shells,2019,4185948,-0.254472287,-1428797,5614745,7712554,9396714,-25.44722868,-1428797,-45.7255275,-3526606,-55.45306583,-5210766
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10511,Other Inedible Animal Products,2019,817901,-0.571304425,-1089982,1907883,1979453,2457819,-57.13044249,-1089982,-58.68045364,-1161552,-66.72248852,-1639918
2,Vegetable Products,206,Trees and other live plants,20601,Bulbs and Roots,2019,295944,0.020535262,5955,289989,503306,1117813,2.053526168,5955,-41.19998569,-207362,-73.52473088,-821869
2,Vegetable Products,206,Trees and other live plants,20602,Other Live Plants,2019,780302,-0.095292589,-82189,862491,639423,2006447,-9.529258856,-82189,22.03220716,140879,-61.11026107,-1226145
2,Vegetable Products,206,Trees and other live plants,20603,Cut Flowers,2019,60289,-0.856330248,-359347,419636,53285,107210,-85.63302481,-359347,13.14441212,7004,-43.76550695,-46921
2,Vegetable Products,206,Trees and other live plants,20604,Foliage,2019,3153956,-0.274931475,-1195917,4349873,2574182,2383907,-27.4931475,-1195917,22.52264991,579774,32.30197319,770049
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20701,Potatoes,2019,1333526,0.90577495,633797,699729,1495396,7105317,90.577495,633797,-10.82455751,-161870,-81.23199852,-5771791
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20702,Tomatoes,2019,41422817,0.059690599,2333278,39089539,28273481,22916133,5.969059906,2333278,46.50766561,13149336,80.75831991,18506684
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20703,Onions,2019,525681,-0.020311976,-10899,536580,924638,1138640,-2.031197585,-10899,-43.14737227,-398957,-53.83255463,-612959
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20704,Cabbages,2019,310301,3.882785208,246751,63550,96962,506725,388.2785208,246751,220.0233081,213339,-38.76343184,-196424
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20705,Lettuce,2019,3764193,-0.216269078,-1038722,4802915,3928842,4988538,-21.62690783,-1038722,-4.190776824,-164649,-24.54316275,-1224345
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20706,Root Vegetables,2019,10599,-0.749058882,-31638,42237,52980,332446,-74.9058882,-31638,-79.99433749,-42381,-96.81181305,-321847
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20707,Cucumbers,2019,6288,-0.557370125,-7918,14206,76075,35175,-55.73701253,-7918,-91.73447256,-69787,-82.12366738,-28887
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20708,Legumes,2019,1529767,0.427383627,458039,1071728,423373,1481202,42.73836272,458039,261.3284267,1106394,3.278756037,48565
