Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Year,Trade Value,Trade Value Growth,Trade Value Growth Value,Trade Value Previous 1,Trade Value Previous 3,Trade Value Previous 5,Trade Value Growth 1,Trade Value Growth Value 1,Trade Value Growth 3,Trade Value Growth Value 3,Trade Value Growth 5,Trade Value Growth Value 5
1,Animal Products,101,Live animals,10101,Horses,2019,682996,0.655587337,270456,412540,825728,2393713,65.5587337,270456,-17.28559526,-142732,-71.467089,-1710717
1,Animal Products,101,Live animals,10102,Bovine,2019,18884236,0.778896247,8268532,10615704,720694,19827919,77.88962465,8268532,2520.284892,18163542,-4.759364813,-943683
1,Animal Products,101,Live animals,10103,Pigs,2019,38150,,,0.1,0.1,0.1,100,38150,100,38150,100,38150
1,Animal Products,101,Live animals,10104,Sheep and Goats,2019,1433,-0.523920266,-1577,0.1,3010,1260271,100,1433,-52.39202658,-1577,-99.8862943,-1258838
1,Animal Products,101,Live animals,10105,Poultry,2019,6106565,-0.055324316,-357627,6464192,5364328,6359569,-5.532431586,-357627,13.83653274,742237,-3.978319914,-253004
1,Animal Products,101,Live animals,10106,Other Animals,2019,669337,0.405677,193170,476167,401530,573222,40.56769999,193170,66.69663537,267807,16.7675002,96115
1,Animal Products,102,Meat and edible meat offal,10201,Bovine Meat,2019,9106132,-0.09920448,-1002857,10108989,77,664,-9.920448029,-1002857,11826045.45,9106055,1371305.422,9105468
1,Animal Products,102,Meat and edible meat offal,10202,Frozen Bovine Meat,2019,8371656,0.277698949,1819521,6552135,2019789,9321067,27.76989485,1819521,314.4817107,6351867,-10.1856472,-949411
1,Animal Products,102,Meat and edible meat offal,10203,Pig Meat,2019,153054,0.424354381,45599,107455,0.1,177411,42.43543809,45599,100,153054,-13.72913743,-24357
1,Animal Products,102,Meat and edible meat offal,10204,Sheep and Goat Meat,2019,3373498,1.46956905,2007471,1366027,9,11958315,146.956905,2007471,37483211.11,3373489,-71.78952051,-8584817
1,Animal Products,102,Meat and edible meat offal,10206,Edible Offal,2019,1567992,0.160832368,217244,1350748,1314638,1687510,16.08323684,217244,19.27176911,253354,-7.082506178,-119518
1,Animal Products,102,Meat and edible meat offal,10207,Poultry Meat,2019,1178206,-0.743168227,-3409256,4587462,493203,4527073,-74.31682268,-3409256,138.8886523,685003,-73.97422131,-3348867
1,Animal Products,102,Meat and edible meat offal,10209,Animal Fat,2019,54,-0.542372881,-64,118,0.1,0.1,-54.23728814,-64,100,54,100,54
1,Animal Products,102,Meat and edible meat offal,10210,Preserved Meat,2019,289858,2.159387433,198113,91745,75451,27851,215.9387433,198113,284.1672079,214407,940.7453951,262007
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,Live Fish,2019,20776316,-0.102690338,-2377693,23154009,18635996,19155098,-10.26903376,-2377693,11.48487046,2140320,8.4636372,1621218
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,Non-fillet Fresh Fish,2019,3985450,0.135931249,476919,3508531,4238339,5927180,13.59312487,476919,-5.966700634,-252889,-32.75976097,-1941730
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,Non-fillet Frozen Fish,2019,62532115,0.215913311,11104012,51428103,24320290,29045092,21.59133111,11104012,157.1191174,38211825,115.2932241,33487023
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,Fish Fillets,2019,3640131,0.969106161,1791510,1848621,1182877,1693375,96.91061608,1791510,207.7353774,2457254,114.9630767,1946756
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,Processed Fish,2019,7532925,0.303430498,1753618,5779307,8099873,8791236,30.34304978,1753618,-6.999467769,-566948,-14.31324333,-1258311
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,Crustaceans,2019,1406392,-0.130789056,-211618,1618010,991327,1286776,-13.07890557,-211618,41.86963535,415065,9.29579041,119616
1,Animal Products,103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,Molluscs,2019,3418283,-0.160449233,-653279,4071562,3410414,3304185,-16.0449233,-653279,0.23073445,7869,3.453135947,114098
1,Animal Products,104,Dairy products and other edible products of animal origin,10401,Milk,2019,3977654,-0.178426809,-863855,4841509,191699,279185,-17.84268087,-863855,1974.947704,3785955,1324.737719,3698469
1,Animal Products,104,Dairy products and other edible products of animal origin,10402,Concentrated Milk,2019,27212267,0.369427327,7340992,19871275,8786914,26653605,36.94273266,7340992,209.6908312,18425353,2.096009151,558662
1,Animal Products,104,Dairy products and other edible products of animal origin,10403,Fermented Milk Products,2019,185928,2.843472868,137553,48375,618,1815,284.3472868,137553,29985.43689,185310,10143.96694,184113
1,Animal Products,104,Dairy products and other edible products of animal origin,10404,Whey,2019,9199207,0.212847989,1614409,7584798,6560956,10774733,21.28479888,1614409,40.21138078,2638251,-14.62241338,-1575526
1,Animal Products,104,Dairy products and other edible products of animal origin,10405,Butter,2019,6324785,-0.210251447,-1683821,8008606,192462,121352,-21.0251447,-1683821,3186.251312,6132323,5111.933054,6203433
1,Animal Products,104,Dairy products and other edible products of animal origin,10406,Cheese,2019,13794678,0.071577285,921432,12873246,8994826,9997179,7.157728517,921432,53.36236632,4799852,37.98570577,3797499
1,Animal Products,104,Dairy products and other edible products of animal origin,10407,Eggs,2019,784712,-0.317142362,-364447,1149159,134615,5908827,-31.71423624,-364447,482.9305798,650097,-86.71966534,-5124115
1,Animal Products,104,Dairy products and other edible products of animal origin,10408,Processed Egg Products,2019,2119164,-0.357603084,-1179675,3298839,4599683,3580962,-35.7603084,-1179675,-53.92804243,-2480519,-40.82137705,-1461798
1,Animal Products,104,Dairy products and other edible products of animal origin,10409,Honey,2019,1188162,0.306482259,278726,909436,1329034,2514556,30.64822593,278726,-10.59957834,-140872,-52.74863634,-1326394
1,Animal Products,104,Dairy products and other edible products of animal origin,10410,Other Edible Animal Products,2019,20669,0.65882825,8209,12460,277970,37253,65.88282504,8209,-92.5643055,-257301,-44.51722009,-16584
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10501,Human Hair,2019,520156,-0.555228728,-649335,1169491,9803828,3874689,-55.52287277,-649335,-94.69435816,-9283672,-86.57554193,-3354533
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10502,Pig Hair,2019,624612,0.444456778,192192,432420,179561,146941,44.44567781,192192,247.8550465,445051,325.0767315,477671
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10504,Animal Organs,2019,754634,0.139804825,92561,662073,454706,321669,13.98048251,92561,65.96086262,299928,134.5995418,432965
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10505,Bird Feathers and Skins,2019,1174235,0.790644762,518474,655761,333263,436738,79.06447623,518474,252.3448448,840972,168.8648572,737497
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10507,Raw Bones,2019,4204,,,0.1,0.1,0.1,100,4204,100,4204,100,4204
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10508,Coral and Shells,2019,94363,40.71662246,92101,0.1,2262,7532,100,94363,4071.662246,92101,1152.827934,86831
1,Animal Products,105,Animal originated products; not elsewhere specified or included,10511,Other Inedible Animal Products,2019,887973,0.185834456,139156,748817,1138134,2385316,18.58344562,139156,-21.97992504,-250161,-62.77336001,-1497343
2,Vegetable Products,206,Trees and other live plants,20601,Bulbs and Roots,2019,177192,-0.615758099,-283955,461147,1190996,445523,-61.57580988,-283955,-85.12236817,-1013804,-60.22831593,-268331
2,Vegetable Products,206,Trees and other live plants,20602,Other Live Plants,2019,2769891,-0.301451978,-1195321,3965212,8125351,9184613,-30.14519779,-1195321,-65.91050651,-5355460,-69.84204996,-6414722
2,Vegetable Products,206,Trees and other live plants,20603,Cut Flowers,2019,158641,0.002679864,424,158217,86505,143541,0.267986373,424,83.38939946,72136,10.51964247,15100
2,Vegetable Products,206,Trees and other live plants,20604,Foliage,2019,86819,-0.112751911,-11033,97852,66138,104737,-11.2751911,-11033,31.26946687,20681,-17.1076124,-17918
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20701,Potatoes,2019,22352261,0.588360774,8279727,14072534,15485880,16540553,58.83607743,8279727,44.33962423,6866381,35.13611667,5811708
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20702,Tomatoes,2019,20573,0.58742284,7613,12960,198159,0.1,58.74228395,7613,-89.61793307,-177586,100,20573
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20703,Onions,2019,5487141,0.191011707,880015,4607126,13082946,9186356,19.10117066,880015,-58.05882712,-7595805,-40.26857875,-3699215
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20704,Cabbages,2019,2660,-0.779819551,-9421,12081,11094,3263,-77.98195514,-9421,-76.02307554,-8434,-18.47992645,-603
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20706,Root Vegetables,2019,792,-0.7760181,-2744,3536,20439,31008,-77.60180995,-2744,-96.12505504,-19647,-97.44582043,-30216
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20707,Cucumbers,2019,4117,4.489333333,3367,750,5395,0.1,448.9333333,3367,-23.68860056,-1278,100,4117
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20708,Legumes,2019,81421,1.617281173,50312,31109,79665,32422,161.7281173,50312,2.204230214,1756,151.1288631,48999
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20709,Other Vegetables,2019,50563,-0.547295664,-61128,111691,491821,82805,-54.72956639,-61128,-89.71922712,-441258,-38.93726224,-32242
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20710,Frozen Vegetables,2019,1474096,0.180846854,225758,1248338,952065,1212861,18.0846854,225758,54.83144533,522031,21.53874187,261235
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20711,Preserved Vegetables,2019,400738,-0.097646267,-43365,444103,327089,410385,-9.764626674,-43365,22.51650162,73649,-2.350719446,-9647
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20712,Dried Vegetables,2019,315376,-0.632416909,-542596,857972,1153732,1186068,-63.24169087,-542596,-72.66470896,-838356,-73.40995626,-870692
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20713,Dried Legumes,2019,7126151,-0.477242752,-6505704,13631855,15785799,12002327,-47.72427524,-6505704,-54.85720425,-8659648,-40.62692176,-4876176
2,Vegetable Products,207,Vegetables and certain roots and tubers; edible,20714,Cassava,2019,12431,0.677597841,5021,7410,47333,0.1,67.75978408,5021,-73.73713899,-34902,100,12431
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20801,"Coconuts, Brazil Nuts, and Cashews",2019,5256407,0.210721286,914857,4341550,8057540,5152119,21.07212862,914857,-34.76412156,-2801133,2.024176848,104288
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,Other Nuts,2019,16968336,0.049343719,797909,16170427,38309718,25502372,4.934371863,797909,-55.70748915,-21341382,-33.46369506,-8534036
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20803,Bananas,2019,19917470,0.058326118,1097685,18819785,12840821,8639912,5.832611797,1097685,55.11056497,7076649,130.5286211,11277558
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20804,Tropical Fruits,2019,2342377,-0.304535586,-1025699,3368076,3671108,1867443,-30.45355865,-1025699,-36.19427704,-1328731,25.43231574,474934
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20805,Citrus,2019,11845,-0.728394212,-31766,0.1,0.1,43611,100,11845,100,11845,-72.83942125,-31766
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20806,Grapes,2019,2793137,0.057067891,150793,2642344,1875604,2392296,5.706789124,150793,48.91933478,917533,16.75549347,400841
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20807,Melons,2019,1309,-0.852123814,-7543,8852,26045,15127,-85.21238138,-7543,-94.97408332,-24736,-91.3465988,-13818
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20810,Other Fruits,2019,748069,-0.552057173,-921941,1670010,2094740,843778,-55.20571733,-921941,-64.28821715,-1346671,-11.34291247,-95709
2,Vegetable Products,208,"Fruit and nuts, edible; peel of citrus fruit or melons",20811,Frozen Fruits and Nuts,2019,641798,0.189157841,102090,539708,521393,527801,18.91578409,102090,23.09294524,120405,21.59848125,113997
