"Parent Service","Parent Service ID","Parent Service Value","Service","Service ID","Service Value"
"Travel","2",1741153061,"Personal travel","2.2",1701030149
"Transportation","1",1147167720,"Transportation","1",1147167720
"Construction services","4",282484951,"Construction services","4",282484951
"Computer and information services","7",266390449,"Computer and information services","7",266390449
"Government services, n.i.e.","11",157469209,"Government services, n.i.e.","11",157469209
"Other business services","9",92977861,"Other business services","9",92977861
"Financial services","6",66342594,"Financial services","6",66342594
"Insurance services","5",66040350,"Insurance services","5",66040350
"Travel","2",1741153061,"Business travel","2.1",40122913
"Royalties and license fees","8",23726167,"Royalties and license fees","8",23726167
