"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","HS6 ID","HS6","Tariff"
2,"Vegetable Products",210,"Cereals",21001,"Wheat",2100119,"Cereals: wheat and meslin, durum wheat, other than seed",86.25
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21103,"Cereal Meal and Pellets",2110311,"Wheat meal",70
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",21101,"Wheat Flours",2110100,"Wheat or meslin flour",67.88235294117646
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21202,"Ground Nuts",2120241,"Ground-nuts: other than seed, not roasted or otherwise cooked, in shell",50
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",21202,"Ground Nuts",2120242,"Ground-nuts: other than seed, not roasted or otherwise cooked, shelled, whether or not broken,",50
2,"Vegetable Products",210,"Cereals",21006,"Rice",2100640,"Rice, broken",50
2,"Vegetable Products",210,"Cereals",21006,"Rice",2100630,"Rice, semi-milled or wholly milled",50
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,"Other Nuts",2080211,"Almonds in shell fresh or dried",40
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20802,"Other Nuts",2080212,"Almonds,fresh or dried, shelled",40
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20808,"Apples and Pears",2080810,"Apples, fresh",40
