"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","HS6 ID","HS6","Tariff"
2,"Vegetable Products",213,"Lac; gums, resins and other vegetable saps and extracts",21302,"Vegetable Saps",2130231,"Agar-agar",36
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20813,"Dried Fruits",2081330,"Apples, dried",36
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20813,"Dried Fruits",2081310,"Apricots, dried",36
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",20809,"Pitted Fruits",2080910,"Apricots, fresh",36
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20714,"Cassava",2071490,"Arrowroot, salep, etc fresh or dried and sago pith",36
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20709,"Other Vegetables",2070920,"Asparagus, fresh or chilled",36
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20709,"Other Vegetables",2070930,"Aubergines(egg-plants), fresh or chilled",36
2,"Vegetable Products",214,"Vegetable plaiting materials; vegetable products not elsewhere specified or included",21401,"Vegetable Plaiting Materials",2140110,"Bamboos used primarily for plaiting",36
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20713,"Dried Legumes",2071339,"Beans dried, shelled, nes",36
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",20710,"Frozen Vegetables",2071022,"Beans, frozen, uncooked steamed or boiled",36
